Precision,Recall,F1,PR_AUC,ROC_AUC,Threshold,Noise
0.18,0.5294117647058824,0.26865671641791045,0.18327169909926155,0.5976066332131097,2.2310286,White
0.21,0.6176470588235294,0.31343283582089554,0.273489692318996,0.6571925147666091,2.1860352,Blue
0.29,0.8529411764705882,0.43283582089552236,0.28887377141580367,0.69676506716847,1.3554803,Pink
0.34,1.0,0.5074626865671642,0.5565128245933528,0.7766681041241963,0.448528,Red
0.33,0.9705882352941176,0.49253731343283585,0.296319812348386,0.6682740055407455,1.0095973,Green
0.33,0.9705882352941176,0.49253731343283585,0.31241126878240855,0.776658303277403,1.3530009,Black
